Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.983722541,0.983722541
0.970257734,0.997187348
0.983122318,0.983965706
0.988363617,0.989211502
0.993520306,0.994372614
0.998674284,0.989214214
1.009563209,0.978428437
0.995274845,0.99227615
1.004051496,1.001026358
0.999385812,0.996374731
1.002045519,0.993723038
1.019865726,0.976050836
1.015753335,0.979986553
1.015753335,0.979986553
1.019675169,0.983770291
1.01298604,0.990223883
0.987425053,0.965237261
0.980071136,0.972425933
0.984744479,0.967789045
0.9603756,0.991738338
0.938103128,0.968738518
0.941750936,0.964971584
0.948250277,0.95831199
0.949478609,0.957070624
0.912105058,0.919398235
0.920396914,0.927756393
0.926320622,0.92178532
0.925738383,0.921205932
0.931183912,0.915787064
0.931183912,0.915787064
0.914811463,0.931888799
0.921670969,0.924901243
0.909895882,0.913084887
0.905331155,0.917665613
0.924994811,0.937597171
0.896088703,0.966897103
0.88881152,0.974749325
0.889250666,0.975230932
0.899853252,0.963603198
0.906291004,0.956709364
0.923116607,0.938947727
0.915904765,0.931612205
0.950854686,0.896062905
0.950177906,0.896700687
0.942423779,0.889382973
0.9401364,0.88722433
0.953247735,0.874850917
0.940184867,0.862862362
0.944979886,0.858461694
0.95066397,0.863625368
0.946681553,0.867243173
0.937941878,0.87524948
0.928313243,0.884234533
0.934197409,0.889839303
0.906439933,0.863399825
0.916407259,0.853905773
0.896219782,0.835095137
0.89357088,0.837563376
0.885072789,0.845528821
0.890296707,0.840538301
0.902227935,0.851802697
0.903270997,0.852787462
0.905789388,0.855165101
0.942039141,0.889388867
0.942039141,0.889388867
0.933240541,0.881082018
0.909574239,0.858738419
0.923374123,0.871767031
0.900426325,0.893432283
0.919946022,0.874064204
0.927269358,0.881022292
0.922214839,0.876219865
0.920440455,0.874533977
0.916652668,0.870935104
0.90676963,0.880325231
0.896423931,0.890369215
0.896423931,0.890369215
0.887651595,0.8990823
0.888221346,0.899659388
0.875852473,0.887131235
0.882499571,0.89386393
0.894088579,0.882125685
0.886060855,0.890045998
0.881155333,0.894973584
0.890489641,0.904454273
0.902988865,0.917149509
0.906215717,0.920426964
0.900885016,0.925841261
0.893051241,0.933892047
0.894913041,0.931945104
0.893574073,0.930550729
0.912600982,0.950364983
0.915962324,0.95386542
0.914182401,0.955718998
0.928255754,0.970431784
0.9214258,0.977572063
0.922761166,0.978988798
0.914009335,0.969703682
0.909993218,0.965442847
0.899738538,0.954563307
0.895373861,0.959193941
0.902162165,0.951921783
0.906124019,0.94774141
0.903123603,0.944603188
0.895980283,0.937131783
0.891292813,0.932229022
0.889284661,0.930128637
0.884221124,0.924832536
0.887991816,0.928776413
0.89465482,0.921807383
0.870457293,0.896875466
0.82390449,0.848909797
0.822711626,0.84768073
0.826670107,0.84360211
0.813219216,0.857328504
0.820344173,0.849817087
0.827983488,0.857730864
0.830739296,0.854876046
0.821196017,0.864696601
0.831702879,0.853633168
0.837718807,0.859807723
0.831496688,0.866193906
0.832581274,0.865064062
0.834152218,0.866696296
0.846116111,0.854265637
0.858282483,0.866549192
0.864273015,0.860500962
