Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.988151659,0.988151659
0.947867299,0.947867299
0.977436637,0.977436637
0.980115393,0.980115393
0.983000206,0.983000206
0.985988049,0.985988049
0.961364105,0.961364105
0.965279209,0.965279209
0.974036678,0.974036678
0.981042654,0.981042654
1.000824232,1.000824232
0.998557593,0.998557593
1.015557387,1.015557387
1.017720997,1.017720997
1.014836184,1.014836184
1.026581496,1.026581496
1.032557181,1.032557181
1.035751082,1.035751082
1.039357099,1.039357099
1.037193489,1.037193489
1.036472285,1.036472285
1.037914692,1.037914692
1.049660004,1.049660004
1.061611374,1.061611374
1.071193076,1.071193076
1.080259633,1.080259633
1.090665568,1.090665568
1.08283536,1.098495776
1.091798887,1.089402614
1.098186689,1.083028832
1.090768597,1.090344535
1.101071502,1.080045635
1.10241088,1.078731834
1.105192664,1.0760098
1.096126108,1.084836953
1.102719967,1.078311004
1.108695652,1.072467592
1.114156192,1.067185483
1.115907686,1.065507828
1.106944158,1.074066519
1.109828972,1.071267388
1.116937977,1.06440539
1.108592623,1.072358239
1.107150216,1.0737535
1.101586647,1.079149247
1.106325984,1.074506442
1.103853287,1.076908021
1.108695652,1.072183859
1.112816814,1.068198415
1.108489594,1.072352136
1.106841129,1.07394686
1.107974449,1.072847221
1.123737894,1.05758354
1.130228725,1.051474824
1.135174119,1.046874023
1.138161962,1.044118591
1.131877189,1.049884069
1.124768185,1.056478098
1.120234906,1.060736139
1.118380383,1.062492163
1.138471049,1.043405478
1.134555945,1.04699366
1.135380177,1.046233039
1.143725531,1.038542942
1.139089223,1.042752872
1.148670925,1.033981524
1.145683083,1.036671045
1.144446734,1.037789755
1.154337523,1.02882074
1.151761797,1.031116395
1.148773954,1.033791265
1.156295075,1.027022946
1.150216361,1.032422068
1.144755821,1.037323391
1.15464661,1.028360828
1.153719349,1.029186673
1.16010715,1.023488372
1.15464661,1.028305857
1.126004533,1.053813935
1.114568308,1.064516959
1.125025757,1.054529117
1.111786524,1.06693875
1.125180301,1.079792243
1.135689264,1.089877291
1.137131671,1.091261513
1.142592211,1.096501783
1.130846899,1.085230259
1.143622502,1.097490513
1.147743664,1.093535593
1.148773954,1.092553963
1.157016279,1.084715011
1.151761797,1.089641143
1.130022666,1.110207766
1.128683289,1.111523658
1.133113538,1.107160763
1.145580054,1.119341746
1.145889141,1.119643754
1.150422419,1.124073202
1.158767773,1.132227414
1.16556769,1.138871586
1.16443437,1.139978948
1.150422419,1.153696621
1.159179889,1.162479015
1.16340408,1.166715229
1.167834329,1.171158087
1.170616114,1.173947789
1.158973831,1.162272371
1.144034618,1.14729064
1.14815578,1.151423531
1.156501133,1.159792636
1.159282918,1.162582338
1.150628477,1.153903266
1.17865238,1.182006927
1.180919019,1.184280017
1.184318978,1.187689653
1.180403874,1.183763406
1.181434164,1.184796629
1.185246239,1.188619553
1.189367402,1.192752444
1.192664331,1.196058758
1.197094581,1.200501616
1.191634041,1.195025535
1.199464249,1.202878028
1.205439934,1.208870721
1.190500721,1.19388899
1.184422007,1.187792975
1.169173707,1.172501277
1.145270966,1.148530507
1.155882959,1.159172702
1.160622295,1.163925527
1.158458685,1.161755759
1.179270554,1.182626861
1.196373377,1.19977836
1.189882547,1.193269056
1.195240058,1.198641815
1.20265815,1.206081019
1.209664125,1.213106934
1.195446116,1.198848459
1.191582526,1.194973874
1.191015866,1.194405601
1.190088605,1.1934757
1.186173501,1.189549454
1.187512879,1.190892643
1.16670101,1.170021542
1.163816196,1.167128518
1.175973625,1.179320548
1.173913043,1.177254102
1.167319184,1.170641476
1.169173707,1.172501277
1.175870596,1.179217225
1.182361426,1.185726529
